Food_Name,VitaminC_mg,Potassium_mg,Carbohydrate_g,Calcium_mg,Zinc_mg,VitaminB6_mg,Protein_g,Cholesterol_mg,Energy_kcal,Riboflavin_mg,Thiamin_mg,Iron_mg,Folate_mcg,VitaminE_mg,Niacin_mg,VitaminD_mcg,VitaminB12_mcg,Fat_g,VitaminK_mcg,Magnesium_mg,Fiber_g,Sodium_mg,VitaminA_mcgRAE,Sugars_g,Food_Category,nutriscore_grade,diet_type,meal_type
Protein Power,0.0,0.0,-0.0043622709147431,0.0,0.0,0.0,-0.0041879619311274,-0.0212542998016831,-0.0044569246054418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004113904242348,0.0,0.0,-0.0383145285648602,-0.0039553469936666,0.0,-0.0283159000492035,0,a,vegan,"lunch,dinner"
Protein Power Bowl,0.0,0.0,-0.0043256323558545,0.0,0.0,0.0,-0.00414261505692325,-0.0335274774927566,-0.0043340227874566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004052575608974349,0.0,0.0,-0.00816963407875035,-0.0039551136749411495,0.0,-0.0701016553995639,0,a,vegan,"lunch,dinner"
Protein Power Wraps,0.0,0.0,-0.0042207819177448,0.0,0.0,0.0,-0.0037954069509921,-0.0335274774927566,-0.0043252365065645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040756391300322,0.0,0.0,-0.0192462906824244,-0.0039547966899978,0.0,-0.0794864489158655,0,a,vegan,"lunch,dinner"
Protein Pudding,0.0,0.0,-0.0037198298245541,0.0,0.0,0.0,0.000549770587747,-0.0335274774927566,-0.0482150203808032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0039483092703972,0.0,0.0,-0.0192462906824244,-0.0039549061938849,0.0,-0.0563004884638263,0,a,vegan,"lunch,dinner"
Protein Pudding Vanilla,0.0,0.0,-0.0044357253158697,0.0,0.0,0.0,4.215638929617208e-05,-0.0335274774927566,-0.0542420546456029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0040741976599232,0.0,0.0,-0.0023134492252049,-0.0039554364232332,0.0,-0.0757325315093448,0,a,vegan,"lunch,dinner"
Protein Raisin Bran,0.0,0.0,-0.0032175408405313,0.0,0.0,0.0,-0.0036276446191762,-0.0335274774927566,-0.0038545943292732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041024599263241,0.0,0.0,0.0869052687995348,-0.0039544041199796,0.0,0.0578494911751482,0,a,vegan,"lunch,dinner"
Protein Rice Crisps - Chocolate Caramel,0.0,0.0,-0.0035367576310292,0.0,0.0,0.0,-0.003221077743602,-0.0335274774927566,-0.0035909544605861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038944257448913,0.0,0.0,0.0051443675606931,-0.0039542429955308,0.0,-0.0410534849919639,0,a,vegan,"lunch,dinner"
Protein Rice Crisps Chocolate Caramel,0.0,0.0,-0.0035367576310292,0.0,0.0,0.0,-0.003221077743602,-0.0335274774927566,-0.0036479105377972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038944257448913,0.0,0.0,0.0051443675606931,-0.0039542429955308,0.0,-0.0410534849919639,0,a,vegan,"lunch,dinner"
Protein Rotini,0.0,0.0,-0.0033495247058334,0.0,0.0,0.0,-0.0034386266857952,-0.0335274774927566,-0.0038655257384626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041003500461878,0.0,0.0,0.0750613999284877,-0.0039552978966993,0.0,-0.0745706046930408,0,a,vegan,"lunch,dinner"
Protein Rotini Grain & Legume Pasta,0.0,0.0,-0.0033495247058334,0.0,0.0,0.0,-0.0033298522146986,-0.0335274774927566,-0.0038263012701946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041003500461878,0.0,0.0,0.0284500450166247,-0.0039554008138865,0.0,-0.0745706046930408,0,c,vegan,"lunch,dinner"
